schema_id,run_id,artifact_path,source_schema_id,clock_source,has_time_s,has_step_index,index_column,row_count,time_start_s,time_end_s,sample_period_s,sample_period_index,alignment_key,dropped_sample_policy,resampling_policy,source
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_backend_comparison.csv,collision.backend_comparison.v1,"surface/sample index, no simulation clock",false,false,,1,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_contact_probe.csv,collision.contact_probe.v1,ChSystem::GetChTime or deterministic fallback time_s,true,true,step_index,721,0,1.8,0.0025,,run_id + scenario_id + step_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_event_timeline.csv,collision.event_timeline.v1,ChSystem::GetChTime or deterministic fallback time_s,true,true,step_index,1,0.86,0.86,,,run_id + scenario_id + step_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_family_filter_map.csv,collision.family_filter_map.v1,"surface/sample index, no simulation clock",false,false,,2,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/collision_shape_manifest.csv,collision.shape_manifest.v1,"surface/sample index, no simulation clock",false,false,,3,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_callback_manifest.csv,collision.contact_callback_manifest.v1,"surface/sample index, no simulation clock",false,false,,2,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_container_manifest.csv,collision.contact_container_manifest.v1,"surface/sample index, no simulation clock",false,false,,1,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_frame_debug_manifest.csv,collision.contact_frame_debug_manifest.v1,"surface/sample index, no simulation clock",false,false,,1,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_material_manifest.csv,collision.contact_material_manifest.v1,"surface/sample index, no simulation clock",false,false,,1,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/contact_pair_material_policy.csv,collision.contact_pair_material_policy.v1,"surface/sample index, no simulation clock",false,false,,1,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_contact_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/data_visualization_control_log.csv,data.control_log.v1,ChSystem::GetChTime or deterministic fallback time_s,true,true,step_index,151,0,3,0.02,,run_id + scenario_id + step_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/data_visualization_state_log.csv,data.state_log.v1,ChSystem::GetChTime or deterministic fallback time_s,true,true,step_index,151,0,3,0.02,,run_id + scenario_id + step_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/environment_terrain_contact_probe.csv,terrain.contact_probe.v1,ChSystem::GetChTime or deterministic fallback time_s,true,true,step_index,201,0,1,0.005,,run_id + scenario_id + step_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_pychrono_unavailable
