schema_id,run_id,artifact_path,artifact_type,producer_script,producer_hash,artifact_hash,image_width_px,image_height_px,render_backend,camera_or_layout,camera_eye,camera_target,camera_fov_deg,visible_component_ids,source,evidence_level
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/collision_contact_count_graph.png,graph_png,code/collision_contact/generate_collision_contact_count_graph.py,c1bd50bc6c24aa59c7ceccd1037279c3a0e5e0b5eb27dc0bd72980588f06c5b7,36110147a4540122bd078ebb40fd55fe3608d396e9aed64bbfba18672182d572,1427,816,matplotlib Agg graph,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,deterministic_contact_probe_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/collision_contact_force_components_graph.png,graph_png,code/collision_contact/generate_collision_contact_force_components_graph.py,d5b2c017432af6c2ffd93f9aa5f984ccf10a1d7e5490b6a6379176daccc00d8d,6cfd6239a1432229ccf9bfe039ddfa55f26ffc7e1323c53ad5c9f1252c4e24a5,1427,816,matplotlib Agg graph,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,deterministic_contact_probe_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/collision_contact_force_graph.png,graph_png,code/collision_contact/generate_collision_contact_force_graph.py,4dc219135bb4b0b01c059899d5b9e2959f12eb333c963c100dae8278e876537f,b2f927a5655959ad613f28b8d4a315d9bc887d687b58ca9965e7943250667b6a,1427,816,matplotlib Agg graph,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,deterministic_contact_probe_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/collision_contact_material_effect_graph.png,graph_png,code/collision_contact/generate_collision_contact_material_effect_graph.py,1d9c1fa2b21484c34591f7e41bb7bb0f1a2adefeda2df7aa6c0bb797f7b83ac6,4cd496d87666b02bdcca46d247af9747ab15b3d4f563165d54cb4bbec1c24d9f,1427,816,matplotlib Agg graph,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,deterministic_contact_probe_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/collision_event_timeline_graph.png,graph_png,code/collision_contact/generate_collision_event_timeline_graph.py,7da0d6f36cb05ab62a2e2e06e3e59443b35f86f89c790a9812830098966880d3,5531bea6ba8169aacc907355444f7365a752e0df060f42610e5c4ca813dbdf85,1463,636,matplotlib Agg graph,see producer script,,,,collision.system_lifecycle;collision.shape_manifest;contact.container_reporter,deterministic_contact_probe_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/data_visualization_control_inputs.png,graph_png,code/data_visualization/generate_data_visualization_control_inputs_graph.py,bbbe2bd0e2cd33d9267dd74ac7de2877d4b7b712957fba2478810223c9741aa5,e4316014b7eb77e6fd7e4aa0bfe2f28e51108feb81ac0f3b390a6565a7662eb0,1428,852,matplotlib Agg graph,see producer script,,,,data.artifact_manifest;visual.runtime;sensor.output_writer,fallback_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/data_visualization_state_trajectory.png,graph_png,code/data_visualization/generate_data_visualization_state_trajectory_graph.py,fffba18a130202b99e3c09fc5dbb8957a8c77e014717fad0213bace0bb2338cc,6a4502d31551ca9a89efef4fdbd965e1c3e517206490a452144105f1fa9f212a,1643,807,matplotlib Agg graph,see producer script,,,,data.artifact_manifest;visual.runtime;sensor.output_writer,fallback_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/rover_vehicle_chassis_probe_graph.png,graph_png,code/rover_vehicle/generate_rover_vehicle_chassis_probe_graph.py,637d8a90fd9f0f40dc4fb834cf1c34d0addaa3dd24eb4b91ff23c05a8f746790,9328347c0beddef6cae937d5a758c74fdd4023dfe48f4aa5a4400a1a9b987ba0,1426,860,matplotlib Agg graph,see producer script,,,,vehicle.chassis;vehicle.wheel;vehicle.axle;core.visual_asset,deterministic_chassis_probe_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/terrain_contact_force_probe.png,graph_png,code/environment_terrain/generate_terrain_contact_force_probe_graph.py,5c4028bc276a26fbaa0dc647c6e8ca4cd17b2db80cfe9b3bf45cf5c62fef566a,1a3c8c5be1791782719d863b6a3c72f5a96836b5c03efe33397ba68cba84f2a4,1391,852,matplotlib Agg graph,see producer script,,,,terrain.interface;terrain.core_ground;terrain.material_region;environment.field,fallback_pychrono_unavailable,fallback_or_csv_derived_graph
visual.render_manifest.v1,component_catalog_fallback_bundle,images/graphs/terrain_contact_material_friction_map.png,graph_png,code/environment_terrain/generate_terrain_contact_material_friction_map_graph.py,3163c5d1f8de0fd9c9db0cfa8d11210ba17b8a61a0d9cde2c89b830c0ad48ee8,100a72235f34c2d7d0c45ea0388934d36684a256ae066eda24c01908d89b281e,1351,840,matplotlib Agg graph,see producer script,,,,terrain.interface;terrain.core_ground;terrain.material_region;environment.field,fallback_pychrono_unavailable,fallback_or_csv_derived_graph
