schema_id,run_id,component_id,catalog_component_id,layout_component_id,instance_id,owner_component_id,filter_chain_id,filter_index,sensor_name,sensor_type,filter_class,filter_role,input_buffer_type,output_buffer_type,output_path_pattern,cpu_copy_required,noise_model,seed,parameters,visualize_only,failure_behavior,source
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.camera.front_rgb,vehicle.chassis,front_rgb_camera_chain,0,front_rgb_camera,ChCameraSensor,ChFilterRGBA8Access,access,RGBA8,host_rgba8,,true,,,schema-only catalog row,false,missing access buffer when Sensor module is unavailable,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.camera.front_rgb,vehicle.chassis,front_rgb_camera_chain,1,front_rgb_camera,ChCameraSensor,ChFilterSave,save,RGBA8,PNG,outputs/raw/sensors/front_rgb/frame_%06d.png,false,,,schema-only catalog row,false,no file written in schema-only fallback,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.camera.front_rgb,vehicle.chassis,front_rgb_camera_chain,2,front_rgb_camera,ChCameraSensor,ChFilterVisualize,visualize,RGBA8,debug_window,,false,,,schema-only catalog row,true,visualize-only filter is not report evidence,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,roof_lidar_xyzi_chain,0,roof_lidar_xyzi,ChLidarSensor,ChFilterDIAccess,access,depth_intensity,host_depth_intensity,,true,,,schema-only catalog row,false,missing access buffer when Sensor module is unavailable,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,roof_lidar_xyzi_chain,1,roof_lidar_xyzi,ChLidarSensor,ChFilterPCfromDepth,convert,depth_intensity,XYZI,,false,,,schema-only catalog row,false,conversion not executed in schema-only fallback,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,roof_lidar_xyzi_chain,2,roof_lidar_xyzi,ChLidarSensor,ChFilterXYZIAccess,access,XYZI,host_xyzi,,true,,,schema-only catalog row,false,missing point cloud access when Sensor module is unavailable,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,roof_lidar_xyzi_chain,3,roof_lidar_xyzi,ChLidarSensor,ChFilterSavePtCloud,save,XYZI,point_cloud_csv,outputs/raw/sensors/lidar_xyzi/cloud_%06d.csv,false,,,schema-only catalog row,false,no point cloud written in schema-only fallback,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.gps.roof,vehicle.chassis,roof_gps_chain,0,roof_gps,ChGPSSensor,ChFilterGPSAccess,access,GPS,host_gps,,true,none,,schema-only catalog row,false,missing GPS access buffer when Sensor module is unavailable,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.imu.roof,vehicle.chassis,roof_imu_chain,0,roof_imu,accelerometer_gyroscope_magnetometer,ChFilterAccelAccess,access,accelerometer,host_accel,,true,none,,schema-only catalog row,false,missing accelerometer buffer when Sensor module is unavailable,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.imu.roof,vehicle.chassis,roof_imu_chain,1,roof_imu,accelerometer_gyroscope_magnetometer,ChFilterGyroAccess,access,gyroscope,host_gyro,,true,none,,schema-only catalog row,false,missing gyroscope buffer when Sensor module is unavailable,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.filter_catalog.v1,data_visualization_component_demo,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.imu.roof,vehicle.chassis,roof_imu_chain,2,roof_imu,accelerometer_gyroscope_magnetometer,ChFilterMagnetAccess,access,magnetometer,host_magnet,,true,none,,schema-only catalog row,false,missing magnetometer buffer when Sensor module is unavailable,fallback_sensor_schema_only_pychrono_sensor_unavailable
