run_id,schema_id,scenario_id,sample_index,terrain_component_id,terrain_type,x_m,y_m,height_m,normal_x,normal_y,normal_z,terrain_mu_query,contact_material_mu,sinkage_m,estimated_friction,scm_sinkage_demo_m,source
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,0,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-2.000,-0.07281,0.10696,-0.03601,0.99361,0.5680,0.5680,0.00000,0.5680,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,1,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.900,-0.06849,0.10061,-0.04979,0.99368,0.5711,0.5711,0.00000,0.5711,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,2,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.800,-0.06282,0.09230,-0.06261,0.99376,0.5751,0.5751,0.00000,0.5751,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,3,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.700,-0.05593,0.08217,-0.07420,0.99385,0.5801,0.5801,0.00000,0.5801,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,4,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.600,-0.04794,0.07044,-0.08434,0.99394,0.5858,0.5858,0.00000,0.5858,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,5,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.500,-0.03901,0.05733,-0.09283,0.99403,0.5921,0.5921,0.00000,0.5921,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,6,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.400,-0.02932,0.04309,-0.09951,0.99410,0.5991,0.5991,0.00000,0.5991,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,7,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.300,-0.01906,0.02801,-0.10423,0.99416,0.6064,0.6064,0.00000,0.6064,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,8,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.200,-0.00842,0.01238,-0.10692,0.99419,0.6140,0.6140,0.00000,0.6140,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,9,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.100,0.00238,-0.00350,-0.10751,0.99420,0.6183,0.6183,0.00001,0.6183,0.00001,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,10,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-1.000,0.01313,-0.01930,-0.10599,0.99418,0.6106,0.6106,0.00001,0.6106,0.00001,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,11,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-0.900,0.02363,-0.03473,-0.10240,0.99414,0.6031,0.6031,0.00002,0.6031,0.00002,fallback_pychrono_unavailable
