schema_id,run_id,scenario_id,time_s,step_index,vehicle_model,terrain_component_id,driver_input_source,steering_cmd,throttle_cmd,braking_cmd,input_source,engine_speed_radps,engine_torque_Nm,gear,driveshaft_speed_radps,driveshaft_torque_Nm,drive_type,front_torque_fraction,brake_lock_state,source,wheel_torque_axle0_left_single_Nm,brake_torque_axle0_left_single_Nm,tire_Fx_axle0_left_single_N,tire_Fz_axle0_left_single_N,slip_ratio_axle0_left_single,contact_patch_axle0_left_single,steering_angle_axle0_left_single_rad,suspension_travel_axle0_left_single_m,wheel_load_axle0_left_single_N,wheel_torque_axle0_right_single_Nm,brake_torque_axle0_right_single_Nm,tire_Fx_axle0_right_single_N,tire_Fz_axle0_right_single_N,slip_ratio_axle0_right_single,contact_patch_axle0_right_single,steering_angle_axle0_right_single_rad,suspension_travel_axle0_right_single_m,wheel_load_axle0_right_single_N,wheel_torque_axle1_left_single_Nm,brake_torque_axle1_left_single_Nm,tire_Fx_axle1_left_single_N,tire_Fz_axle1_left_single_N,slip_ratio_axle1_left_single,contact_patch_axle1_left_single,steering_angle_axle1_left_single_rad,suspension_travel_axle1_left_single_m,wheel_load_axle1_left_single_N,wheel_torque_axle1_right_single_Nm,brake_torque_axle1_right_single_Nm,tire_Fx_axle1_right_single_N,tire_Fz_axle1_right_single_N,slip_ratio_axle1_right_single,contact_patch_axle1_right_single,steering_angle_axle1_right_single_rad,suspension_travel_axle1_right_single_m,wheel_load_axle1_right_single_N
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.000,0,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.00000,0.42000,0.00000,schema_fallback_driver,88.80000,48.30000,1,10.44706,154.56000,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,38.64000,0.00000,104.32800,915.00000,0.01680,patch.axle0_left_single,0.00000,0.03837,915.00000,38.64000,0.00000,104.32800,915.00000,0.01680,patch.axle0_right_single,0.00000,0.03163,915.00000,38.64000,0.00000,104.32800,875.14648,0.01680,patch.axle1_left_single,0.00000,0.03837,875.14648,38.64000,0.00000,104.32800,875.14648,0.01680,patch.axle1_right_single,0.00000,0.03163,875.14648
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.020,1,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.00576,0.42864,0.00000,schema_fallback_driver,89.14553,49.29339,1,10.48771,157.73883,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,39.44152,0.00000,106.49211,915.71981,0.01715,patch.axle0_left_single,0.00576,0.03849,915.71981,39.42789,0.00000,106.45532,915.71981,0.01715,patch.axle0_right_single,0.00576,0.03177,915.71981,39.44152,0.00000,106.49211,875.52328,0.01715,patch.axle1_left_single,0.00000,0.03849,875.52328,39.42789,0.00000,106.45532,875.52328,0.01715,patch.axle1_right_single,0.00000,0.03177,875.52328
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.040,2,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.01152,0.43727,0.00000,schema_fallback_driver,89.49060,50.28548,1,10.52831,160.91355,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,40.24228,0.00000,108.65417,916.43846,0.01749,patch.axle0_left_single,0.01152,0.03860,916.43846,40.21449,0.00000,108.57912,916.43846,0.01749,patch.axle0_right_single,0.01152,0.03192,916.43846,40.24228,0.00000,108.65417,875.87524,0.01749,patch.axle1_left_single,0.00000,0.03860,875.87524,40.21449,0.00000,108.57912,875.87524,0.01749,patch.axle1_right_single,0.00000,0.03192,875.87524
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.060,3,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.01727,0.44587,0.00000,schema_fallback_driver,89.83479,51.27501,1,10.56880,164.08003,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,41.04125,0.00000,110.81138,917.15482,0.01783,patch.axle0_left_single,0.01727,0.03870,917.15482,40.99876,0.00000,110.69665,917.15482,0.01783,patch.axle0_right_single,0.01727,0.03208,917.15482,41.04125,0.00000,110.81138,876.20181,0.01783,patch.axle1_left_single,0.00000,0.03870,876.20181,40.99876,0.00000,110.69665,876.20181,0.01783,patch.axle1_right_single,0.00000,0.03208,876.20181
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.080,4,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.02300,0.45444,0.00000,schema_fallback_driver,90.17763,52.26068,1,10.60913,167.23417,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,41.83740,0.00000,112.96097,917.86773,0.01818,patch.axle0_left_single,0.02300,0.03878,917.86773,41.77969,0.00000,112.80516,917.86773,0.01818,patch.axle0_right_single,0.02300,0.03224,917.86773,41.83740,0.00000,112.96097,876.50246,0.01818,patch.axle1_left_single,0.00000,0.03878,876.50246,41.77969,0.00000,112.80516,876.50246,0.01818,patch.axle1_right_single,0.00000,0.03224,876.50246
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.100,5,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.02873,0.46297,0.00000,schema_fallback_driver,90.51868,53.24122,1,10.64926,170.37189,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,42.62969,0.00000,115.10015,918.57605,0.01852,patch.axle0_left_single,0.02873,0.03885,918.57605,42.55626,0.00000,114.90190,918.57605,0.01852,patch.axle0_right_single,0.02873,0.03242,918.57605,42.62969,0.00000,115.10015,876.77670,0.01852,patch.axle1_left_single,0.00000,0.03885,876.77670,42.55626,0.00000,114.90190,876.77670,0.01852,patch.axle1_right_single,0.00000,0.03242,876.77670
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.120,6,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.03444,0.47144,0.00000,schema_fallback_driver,90.85751,54.21535,1,10.68912,173.48912,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,43.41709,0.00000,117.22615,919.27865,0.01886,patch.axle0_left_single,0.03444,0.03891,919.27865,43.32747,0.00000,116.98416,919.27865,0.01886,patch.axle0_right_single,0.03444,0.03261,919.27865,43.41709,0.00000,117.22615,877.02411,0.01886,patch.axle1_left_single,0.00000,0.03891,877.02411,43.32747,0.00000,116.98416,877.02411,0.01886,patch.axle1_right_single,0.00000,0.03261,877.02411
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.140,7,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.04013,0.47984,0.00000,schema_fallback_driver,91.19368,55.18182,1,10.72867,176.58182,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,44.19860,0.00000,119.33623,919.97440,0.01919,patch.axle0_left_single,0.04013,0.03895,919.97440,44.09231,0.00000,119.04923,919.97440,0.01919,patch.axle0_right_single,0.04013,0.03281,919.97440,44.19860,0.00000,119.33623,877.24429,0.01919,patch.axle1_left_single,0.00000,0.03895,877.24429,44.09231,0.00000,119.04923,877.24429,0.01919,patch.axle1_right_single,0.00000,0.03281,877.24429
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.160,8,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.04580,0.48817,0.00000,schema_fallback_driver,91.52674,56.13937,1,10.76785,179.64599,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,44.97320,0.00000,121.42764,920.66220,0.01953,patch.axle0_left_single,0.04580,0.03898,920.66220,44.84979,0.00000,121.09444,920.66220,0.01953,patch.axle0_right_single,0.04580,0.03301,920.66220,44.97320,0.00000,121.42764,877.43687,0.01953,patch.axle1_left_single,0.00000,0.03898,877.43687,44.84979,0.00000,121.09444,877.43687,0.01953,patch.axle1_right_single,0.00000,0.03301,877.43687
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.180,9,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.05144,0.49641,0.00000,schema_fallback_driver,91.85627,57.08676,1,10.80662,182.67764,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,45.73988,0.00000,123.49769,921.34094,0.01986,patch.axle0_left_single,0.05144,0.03900,921.34094,45.59894,0.00000,123.11713,921.34094,0.01986,patch.axle0_right_single,0.05144,0.03322,921.34094,45.73988,0.00000,123.49769,877.60156,0.01986,patch.axle1_left_single,0.00000,0.03900,877.60156,45.59894,0.00000,123.11713,877.60156,0.01986,patch.axle1_right_single,0.00000,0.03322,877.60156
