schema_id,run_id,visual_asset_id,owner_component_id,owner_physics_item,visual_model_id,shape_id,shape_class,artifact_path,visual_backend,source_asset_or_generator,mesh_or_texture_hash,shape_local_frame,local_frame,REF_or_COG_frame,material_slots,visual_material_id,mesh_path,mesh_hash,texture_path_hash,runtime_visible,sensor_scene_visible,visible_in_runtime,visible_in_sensor_scene,sensor_scene_material_policy,fallback_reason,source,evidence_level
visual.asset_manifest.v1,component_catalog_fallback_bundle,chrono_builtin_robot_rover_assets,vehicle.chassis,robot.Viper + robot.Curiosity visual assemblies,robot_rover_assets.vsg_composite,viper.parts;curiosity.parts,Chrono Robot visual shapes captured through ChVisualSystemVSG,images/renders/chrono_builtin_robot_rover_assets.png,pychrono.vsg3d ChVisualSystemVSG,composite of VIPER and Curiosity VSG captures,0efb55ba2a39ba6fd9d0ab868d412756efc5230e93e7f74046643f376ed1afc9,Chrono robot model frames; see robot_vsg_capture_manifest camera/part ids,Chrono robot model frames; see robot_vsg_capture_manifest camera/part ids,robot subsystem REF frames,runtime VSG materials/textures,robot_runtime_materials,composite of VSG runtime captures,,,true,unknown,true,unknown,not exported by VSG capture; Sensor scene material must be logged by live Sensor run,,pychrono_vsg_capture,pychrono_vsg_capture
visual.asset_manifest.v1,component_catalog_fallback_bundle,chrono_builtin_tracked_vehicle_assets,vehicle.track_assembly,M113 visual asset assembly,chrono_builtin_tracked_vehicle_assets.vsg_visual_model,m113.chassis;m113.sprockets;m113.idlers;m113.road_wheels;m113.track_shoes,Chrono Vehicle OBJ visual shapes captured through ChVisualSystemVSG,images/renders/chrono_builtin_tracked_vehicle_assets.png,pychrono.vsg3d ChVisualSystemVSG visual asset capture,chrono_build/data/vehicle/M113,4469f44d648be3060309d30bae437852094c1888c5e55049944fd2898a47e36d,Chrono Vehicle visual asset frames; see vehicle_vsg_capture_manifest camera/part ids,Chrono Vehicle visual asset frames; see vehicle_vsg_capture_manifest camera/part ids,vehicle visual asset frames,runtime VSG mesh materials,vehicle_runtime_materials,vehicle/M113,,,true,unknown,true,unknown,not exported by VSG capture; Sensor scene material must be logged by live Sensor run,,pychrono_vsg_capture,pychrono_vsg_capture
visual.asset_manifest.v1,component_catalog_fallback_bundle,chrono_builtin_wheeled_vehicle_assets,vehicle.robot_assets,HMMWV visual asset assembly,chrono_builtin_wheeled_vehicle_assets.vsg_visual_model,hmmwv.chassis;hmmwv.rims;hmmwv.tires,Chrono Vehicle OBJ visual shapes captured through ChVisualSystemVSG,images/renders/chrono_builtin_wheeled_vehicle_assets.png,pychrono.vsg3d ChVisualSystemVSG visual asset capture,chrono_build/data/vehicle/hmmwv,1bc082b30236b043d7cdefe01a87b2aba025c281f7eeecebc57f48ab0d64c8ff,Chrono Vehicle visual asset frames; see vehicle_vsg_capture_manifest camera/part ids,Chrono Vehicle visual asset frames; see vehicle_vsg_capture_manifest camera/part ids,vehicle visual asset frames,runtime VSG mesh materials,vehicle_runtime_materials,vehicle/hmmwv,,,true,unknown,true,unknown,not exported by VSG capture; Sensor scene material must be logged by live Sensor run,,pychrono_vsg_capture,pychrono_vsg_capture
visual.asset_manifest.v1,component_catalog_fallback_bundle,chrono_curiosity_vsg_capture,vehicle.robot_assets,robot.curiosity body/wheel/mast visual assemblies,robot.curiosity.visual_model,curiosity.body;curiosity.rocker_bogie;curiosity.wheels;curiosity.mast,Chrono Robot visual shapes captured through ChVisualSystemVSG,images/renders/chrono_curiosity_vsg_capture.png,pychrono.vsg3d ChVisualSystemVSG,chrono_build_cuda129_sm120/data/robot/curiosity,8ce263fb6b6d0de4a7b461efcc55450944d80c6e89cb7142fa7af0533340cda6,Chrono robot model frames; see robot_vsg_capture_manifest camera/part ids,Chrono robot model frames; see robot_vsg_capture_manifest camera/part ids,robot subsystem REF frames,runtime VSG materials/textures,robot_runtime_materials,robot/curiosity,,,true,unknown,true,unknown,not exported by VSG capture; Sensor scene material must be logged by live Sensor run,,pychrono_vsg_capture,pychrono_vsg_capture
visual.asset_manifest.v1,component_catalog_fallback_bundle,chrono_default_shape_types,runtime.system,report_concept_render,,,report PNG concept/rendered diagram,images/renders/chrono_default_shape_types.png,matplotlib Agg render,procedural report render,b41b1e0b6787a1a900a38645ff65f7b7a0bae04903e3caa46c6847fba2358bf3,report image frame,report image frame,not applicable,matplotlib/report colors,,,,,false,unknown,false,unknown,not a Chrono sensor scene asset,concept_render_only,concept_render,concept_render
visual.asset_manifest.v1,component_catalog_fallback_bundle,chrono_module_coverage_map,runtime.config,report_concept_render,,,report PNG concept/rendered diagram,images/renders/chrono_module_coverage_map.png,matplotlib Agg render,procedural report render,9df1e460f3212a6cbe150a18e970ee3b30ea7387227b4af4011a902a51f92665,report image frame,report image frame,not applicable,matplotlib/report colors,,,,,false,unknown,false,unknown,not a Chrono sensor scene asset,concept_render_only,concept_render,concept_render
visual.asset_manifest.v1,component_catalog_fallback_bundle,chrono_optional_module_dependency_ladder,runtime.config,report_concept_render,,,report PNG concept/rendered diagram,images/renders/chrono_optional_module_dependency_ladder.png,matplotlib Agg render,procedural report render,719dc3aae8340f4707d0edd47992b68306d3ea8d0f0ee7e4c643d3747cfd672c,report image frame,report image frame,not applicable,matplotlib/report colors,,,,,false,unknown,false,unknown,not a Chrono sensor scene asset,concept_render_only,concept_render,concept_render
visual.asset_manifest.v1,component_catalog_fallback_bundle,chrono_viper_vsg_capture,vehicle.robot_assets,robot.viper body/wheel/mast visual assemblies,robot.viper.visual_model,viper.body;viper.suspension;viper.wheels;viper.mast,Chrono Robot visual shapes captured through ChVisualSystemVSG,images/renders/chrono_viper_vsg_capture.png,pychrono.vsg3d ChVisualSystemVSG,chrono_build_cuda129_sm120/data/robot/viper,01516e410baa3a4023e978b19cf8c71b0782af6722a98583b69c944f6601cce4,Chrono robot model frames; see robot_vsg_capture_manifest camera/part ids,Chrono robot model frames; see robot_vsg_capture_manifest camera/part ids,robot subsystem REF frames,runtime VSG materials/textures,robot_runtime_materials,robot/viper,,,true,unknown,true,unknown,not exported by VSG capture; Sensor scene material must be logged by live Sensor run,,pychrono_vsg_capture,pychrono_vsg_capture
visual.asset_manifest.v1,component_catalog_fallback_bundle,collision_contact_components,collision.system_lifecycle,report_concept_render,,,report PNG concept/rendered diagram,images/renders/collision_contact_components.png,matplotlib Agg render,procedural report render,7434a0bb0534fd63e1a9f10c60dc2ff35aa3c779161b02b73f376ac9a52814bf,report image frame,report image frame,not applicable,matplotlib/report colors,,,,,false,unknown,false,unknown,not a Chrono sensor scene asset,concept_render_only,concept_render,concept_render
visual.asset_manifest.v1,component_catalog_fallback_bundle,collision_contact_debug_vectors,collision.system_lifecycle,report_concept_render,,,report PNG concept/rendered diagram,images/renders/collision_contact_debug_vectors.png,matplotlib Agg render,procedural report render,7237493e6348991b86a6b44a5dac3fe9fd97d1b1a2576def306f2b31ea57d55a,report image frame,report image frame,not applicable,matplotlib/report colors,,,,,false,unknown,false,unknown,not a Chrono sensor scene asset,concept_render_only,concept_render,concept_render
