# time_s throttle brake steering
0.000 0.45000 0.00000 0.00000
0.020 0.46100 0.00000 0.00784
0.040 0.47197 0.00000 0.01567
0.060 0.48290 0.00000 0.02349
0.080 0.49377 0.00000 0.03129
0.100 0.50456 0.00000 0.03907
0.120 0.51524 0.00000 0.04682
0.140 0.52579 0.00000 0.05453
0.160 0.53619 0.00000 0.06220
0.180 0.54643 0.00000 0.06982
0.200 0.55648 0.00000 0.07738
0.220 0.56633 0.00000 0.08488
0.240 0.57595 0.00000 0.09232
0.260 0.58533 0.00000 0.09968
0.280 0.59444 0.00000 0.10697
0.300 0.60328 0.00000 0.11417
0.320 0.61182 0.00000 0.12129
0.340 0.62004 0.00000 0.12830
0.360 0.62794 0.00000 0.13522
0.380 0.63549 0.00000 0.14203
0.400 0.64268 0.00000 0.14873
0.420 0.64950 0.00000 0.15532
0.440 0.65594 0.00000 0.16178
0.460 0.66197 0.00000 0.16811
0.480 0.66760 0.00000 0.17431
0.500 0.67280 0.00000 0.18038
0.520 0.67757 0.00000 0.18631
0.540 0.68191 0.00000 0.19208
0.560 0.68579 0.00000 0.19771
0.580 0.68922 0.00000 0.20319
0.600 0.69218 0.00000 0.20850
0.620 0.69467 0.00000 0.21365
0.640 0.69669 0.00000 0.21863
0.660 0.69824 0.00000 0.22345
0.680 0.69930 0.00000 0.22808
0.700 0.69988 0.00000 0.23254
0.720 0.69998 0.00000 0.23681
0.740 0.69959 0.00000 0.24090
0.760 0.69872 0.00000 0.24481
0.780 0.69737 0.00000 0.24851
0.800 0.69554 0.00000 0.25203
0.820 0.69323 0.00000 0.25534
0.840 0.69046 0.00000 0.25846
0.860 0.68721 0.00000 0.26137
0.880 0.68351 0.00000 0.26408
0.900 0.67936 0.00000 0.26659
0.920 0.67476 0.00000 0.26888
0.940 0.66973 0.00000 0.27096
0.960 0.66427 0.00000 0.27283
0.980 0.65840 0.00000 0.27449
1.000 0.65212 0.00000 0.27593
1.020 0.64546 0.00000 0.27715
1.040 0.63841 0.00000 0.27816
1.060 0.63100 0.00000 0.27895
1.080 0.62324 0.00000 0.27952
1.100 0.61515 0.00000 0.27987
1.120 0.60673 0.00000 0.28000
1.140 0.59801 0.00000 0.27991
1.160 0.58901 0.00000 0.27960
1.180 0.57973 0.00000 0.27908
1.200 0.57021 0.00000 0.27833
1.220 0.56045 0.00000 0.27737
1.240 0.55048 0.00000 0.27619
1.260 0.54031 0.00000 0.27479
1.280 0.52997 0.00000 0.27318
1.300 0.51947 0.00000 0.27135
1.320 0.50884 0.00000 0.26931
1.340 0.49810 0.00000 0.26706
1.360 0.48726 0.00000 0.26460
1.380 0.47635 0.00000 0.26193
1.400 0.46539 0.00000 0.25906
1.420 0.45440 0.00000 0.25598
1.440 0.44340 0.00000 0.25271
1.460 0.43241 0.00000 0.24923
1.480 0.42146 0.00000 0.24556
1.500 0.41056 0.00000 0.24170
1.520 0.39974 0.00000 0.23765
1.540 0.38902 0.00000 0.23341
1.560 0.37841 0.00000 0.22899
1.580 0.36795 0.00000 0.22439
1.600 0.35764 0.00000 0.21961
1.620 0.34751 0.00000 0.21466
1.640 0.33758 0.00000 0.20954
1.660 0.32787 0.00000 0.20426
1.680 0.31839 0.00000 0.19882
1.700 0.30917 0.00000 0.19322
1.720 0.30022 0.00000 0.18747
1.740 0.29156 0.00000 0.18158
1.760 0.28321 0.00000 0.17554
1.780 0.27518 0.00000 0.16936
1.800 0.26749 0.00000 0.16305
1.820 0.26015 0.00000 0.15662
1.840 0.25318 0.00000 0.15006
1.860 0.24659 0.00000 0.14338
1.880 0.24039 0.00000 0.13659
1.900 0.23460 0.00000 0.12969
1.920 0.22923 0.00000 0.12270
1.940 0.22428 0.00000 0.11560
1.960 0.21977 0.00000 0.10842
1.980 0.21571 0.00000 0.10115
2.000 0.21210 0.00000 0.09380
2.020 0.20895 0.00000 0.08637
2.040 0.20627 0.00000 0.07888
2.060 0.20406 0.00000 0.07133
2.080 0.20232 0.00000 0.06372
2.100 0.20107 0.00000 0.05606
2.120 0.20029 0.00000 0.04836
2.140 0.20000 0.00000 0.04062
2.160 0.20020 0.00000 0.03285
2.180 0.20087 0.00000 0.02505
2.200 0.20203 0.00000 0.01724
2.220 0.20367 0.00000 0.00940
2.240 0.20579 0.00000 0.00157
2.260 0.20838 0.00000 -0.00627
2.280 0.21143 0.00000 -0.01411
2.300 0.21495 0.00000 -0.02193
2.320 0.21893 0.00000 -0.02974
2.340 0.22335 0.00000 -0.03752
2.360 0.22821 0.00000 -0.04527
2.380 0.23350 0.00000 -0.05299
2.400 0.23920 0.00000 -0.06067
2.420 0.24532 0.00000 -0.06830
2.440 0.25183 0.00000 -0.07587
2.460 0.25873 0.00000 -0.08339
2.480 0.26599 0.00000 -0.09084
2.500 0.27361 0.00000 -0.09822
2.520 0.28158 0.00000 -0.10552
2.540 0.28987 0.00000 -0.11274
2.560 0.29847 0.00000 -0.11987
2.580 0.30736 0.00000 -0.12691
2.600 0.31653 0.00000 -0.13385
2.620 0.32596 0.00000 -0.14068
2.640 0.33562 0.00000 -0.14740
2.660 0.34551 0.00000 -0.15401
2.680 0.35560 0.00000 -0.16050
2.700 0.36588 0.00000 -0.16686
2.720 0.37631 0.00000 -0.17309
2.740 0.38689 0.00000 -0.17918
2.760 0.39760 0.00000 -0.18513
2.780 0.40840 0.00000 -0.19094
2.800 0.41928 0.00000 -0.19660
2.820 0.43022 0.00000 -0.20211
2.840 0.44121 0.00000 -0.20745
2.860 0.45220 0.00000 -0.21264
2.880 0.46320 0.00000 -0.21765
2.900 0.47417 0.00000 -0.22250
2.920 0.48509 0.00000 -0.22717
2.940 0.49594 0.00000 -0.23166
2.960 0.50671 0.00000 -0.23598
2.980 0.51736 0.00000 -0.24010
3.000 0.52789 0.00000 -0.24404
