time_s,throttle,brake,steering,drive_torque_Nm,source
0.000,0.45000,0.00000,0.00000,54.00000,pychrono
0.020,0.46100,0.00000,0.00784,55.31957,pychrono
0.040,0.47197,0.00000,0.01567,56.63659,pychrono
0.060,0.48290,0.00000,0.02349,57.94851,pychrono
0.080,0.49377,0.00000,0.03129,59.25278,pychrono
0.100,0.50456,0.00000,0.03907,60.54689,pychrono
0.120,0.51524,0.00000,0.04682,61.82832,pychrono
0.140,0.52579,0.00000,0.05453,63.09460,pychrono
0.160,0.53619,0.00000,0.06220,64.34328,pychrono
0.180,0.54643,0.00000,0.06982,65.57193,pychrono
0.200,0.55648,0.00000,0.07738,66.77818,pychrono
0.220,0.56633,0.00000,0.08488,67.95970,pychrono
0.240,0.57595,0.00000,0.09232,69.11420,pychrono
0.260,0.58533,0.00000,0.09968,70.23944,pychrono
0.280,0.59444,0.00000,0.10697,71.33325,pychrono
0.300,0.60328,0.00000,0.11417,72.39351,pychrono
0.320,0.61182,0.00000,0.12129,73.41816,pychrono
0.340,0.62004,0.00000,0.12830,74.40522,pychrono
0.360,0.62794,0.00000,0.13522,75.35279,pychrono
0.380,0.63549,0.00000,0.14203,76.25902,pychrono
0.400,0.64268,0.00000,0.14873,77.12217,pychrono
0.420,0.64950,0.00000,0.15532,77.94056,pychrono
0.440,0.65594,0.00000,0.16178,78.71260,pychrono
0.460,0.66197,0.00000,0.16811,79.43682,pychrono
0.480,0.66760,0.00000,0.17431,80.11179,pychrono
0.500,0.67280,0.00000,0.18038,80.73622,pychrono
0.520,0.67757,0.00000,0.18631,81.30890,pychrono
0.540,0.68191,0.00000,0.19208,81.82871,pychrono
0.560,0.68579,0.00000,0.19771,82.29466,pychrono
0.580,0.68922,0.00000,0.20319,82.70584,pychrono
0.600,0.69218,0.00000,0.20850,83.06145,pychrono
0.620,0.69467,0.00000,0.21365,83.36081,pychrono
0.640,0.69669,0.00000,0.21863,83.60334,pychrono
0.660,0.69824,0.00000,0.22345,83.78856,pychrono
0.680,0.69930,0.00000,0.22808,83.91612,pychrono
0.700,0.69988,0.00000,0.23254,83.98577,pychrono
0.720,0.69998,0.00000,0.23681,83.99738,pychrono
0.740,0.69959,0.00000,0.24090,83.95093,pychrono
0.760,0.69872,0.00000,0.24481,83.84650,pychrono
0.780,0.69737,0.00000,0.24851,83.68429,pychrono
0.800,0.69554,0.00000,0.25203,83.46463,pychrono
0.820,0.69323,0.00000,0.25534,83.18793,pychrono
0.840,0.69046,0.00000,0.25846,82.85473,pychrono
0.860,0.68721,0.00000,0.26137,82.46568,pychrono
0.880,0.68351,0.00000,0.26408,82.02153,pychrono
0.900,0.67936,0.00000,0.26659,81.52314,pychrono
0.920,0.67476,0.00000,0.26888,80.97147,pychrono
0.940,0.66973,0.00000,0.27096,80.36759,pychrono
0.960,0.66427,0.00000,0.27283,79.71268,pychrono
0.980,0.65840,0.00000,0.27449,79.00799,pychrono
1.000,0.65212,0.00000,0.27593,78.25489,pychrono
1.020,0.64546,0.00000,0.27715,77.45485,pychrono
1.040,0.63841,0.00000,0.27816,76.60940,pychrono
1.060,0.63100,0.00000,0.27895,75.72019,pychrono
1.080,0.62324,0.00000,0.27952,74.78893,pychrono
1.100,0.61515,0.00000,0.27987,73.81744,pychrono
1.120,0.60673,0.00000,0.28000,72.80758,pychrono
1.140,0.59801,0.00000,0.27991,71.76132,pychrono
1.160,0.58901,0.00000,0.27960,70.68067,pychrono
1.180,0.57973,0.00000,0.27908,69.56774,pychrono
1.200,0.57021,0.00000,0.27833,68.42468,pychrono
1.220,0.56045,0.00000,0.27737,67.25369,pychrono
1.240,0.55048,0.00000,0.27619,66.05705,pychrono
1.260,0.54031,0.00000,0.27479,64.83707,pychrono
1.280,0.52997,0.00000,0.27318,63.59611,pychrono
1.300,0.51947,0.00000,0.27135,62.33658,pychrono
1.320,0.50884,0.00000,0.26931,61.06091,pychrono
1.340,0.49810,0.00000,0.26706,59.77157,pychrono
1.360,0.48726,0.00000,0.26460,58.47106,pychrono
1.380,0.47635,0.00000,0.26193,57.16190,pychrono
