time_s,body_name,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,contact_force_N,source
0.000,component_demo_rover,-2.50000,0.00000,0.25000,0.00000,0.13200,0.00000,0.00000,0.00000,0.00000,0.00000,fallback_pychrono_unavailable
0.020,component_demo_rover,-2.49986,0.00264,0.25000,0.01400,0.13197,0.00000,0.00000,0.00000,0.00078,0.00000,fallback_pychrono_unavailable
0.040,component_demo_rover,-2.49944,0.00528,0.25000,0.02800,0.13187,0.00000,0.00000,0.00000,0.00157,0.00000,fallback_pychrono_unavailable
0.060,component_demo_rover,-2.49874,0.00791,0.25000,0.04200,0.13171,0.00000,0.00000,0.00000,0.00235,0.00000,fallback_pychrono_unavailable
0.080,component_demo_rover,-2.49776,0.01055,0.25000,0.05600,0.13149,0.00000,0.00000,0.00000,0.00313,0.00000,fallback_pychrono_unavailable
0.100,component_demo_rover,-2.49650,0.01317,0.25000,0.07000,0.13120,0.00000,0.00000,0.00000,0.00391,0.00000,fallback_pychrono_unavailable
0.120,component_demo_rover,-2.49496,0.01579,0.25000,0.08400,0.13085,0.00000,0.00000,0.00000,0.00468,0.00000,fallback_pychrono_unavailable
0.140,component_demo_rover,-2.49314,0.01841,0.25000,0.09800,0.13044,0.00000,0.00000,0.00000,0.00545,0.00000,fallback_pychrono_unavailable
0.160,component_demo_rover,-2.49104,0.02101,0.25000,0.11200,0.12996,0.00000,0.00000,0.00000,0.00622,0.00000,fallback_pychrono_unavailable
0.180,component_demo_rover,-2.48866,0.02361,0.25000,0.12600,0.12942,0.00000,0.00000,0.00000,0.00698,0.00000,fallback_pychrono_unavailable
0.200,component_demo_rover,-2.48600,0.02619,0.25000,0.14000,0.12882,0.00000,0.00000,0.00000,0.00774,0.00000,fallback_pychrono_unavailable
0.220,component_demo_rover,-2.48306,0.02876,0.25000,0.15400,0.12815,0.00000,0.00000,0.00000,0.00849,0.00000,fallback_pychrono_unavailable
0.240,component_demo_rover,-2.47984,0.03131,0.25000,0.16800,0.12743,0.00000,0.00000,0.00000,0.00923,0.00000,fallback_pychrono_unavailable
0.260,component_demo_rover,-2.47634,0.03385,0.25000,0.18200,0.12664,0.00000,0.00000,0.00000,0.00997,0.00000,fallback_pychrono_unavailable
