time_s,x_m,y_m,z_m,speed_mps,source
0.000,-2.00000,0.00000,0.45000,1.30000,pychrono
0.020,-1.97400,0.00000,0.44608,1.31472,pychrono
0.040,-1.94800,0.00000,0.43823,1.35793,pychrono
0.060,-1.92200,0.00000,0.42646,1.42704,pychrono
0.080,-1.89600,0.00000,0.41076,1.51852,pychrono
0.100,-1.87000,0.00000,0.39114,1.62861,pychrono
0.120,-1.84400,0.00000,0.36760,1.75380,pychrono
0.140,-1.81800,0.00000,0.34013,1.89109,pychrono
0.160,-1.79200,0.00000,0.30874,2.03805,pychrono
0.180,-1.76600,0.00000,0.27342,2.19273,pychrono
0.200,-1.74000,0.00000,0.23418,2.35360,pychrono
0.220,-1.71400,0.00000,0.19102,2.51949,pychrono
0.240,-1.68800,0.00000,0.14393,2.68946,pychrono
0.260,-1.66200,0.00000,0.09292,2.86279,pychrono
0.280,-1.63600,0.00000,0.03798,3.03890,pychrono
0.300,-1.61000,0.00000,-0.02088,3.21734,pychrono
0.320,-1.58400,0.00000,-0.08366,3.39773,pychrono
0.340,-1.55800,0.00000,-0.15037,3.57979,pychrono
0.360,-1.53200,0.00000,-0.22100,3.76327,pychrono
0.380,-1.50600,0.00000,-0.29556,3.94797,pychrono
0.400,-1.48000,0.00000,-0.37404,4.13374,pychrono
0.420,-1.45400,0.00000,-0.45644,4.32042,pychrono
0.440,-1.42800,0.00000,-0.54277,4.50792,pychrono
0.460,-1.40200,0.00000,-0.63302,4.69612,pychrono
0.480,-1.37600,0.00000,-0.72720,4.88496,pychrono
0.500,-1.35000,0.00000,-0.82530,5.07435,pychrono
0.520,-1.32400,0.00000,-0.92732,5.26424,pychrono
0.540,-1.29800,0.00000,-1.03327,5.45458,pychrono
0.560,-1.27200,0.00000,-1.14314,5.64532,pychrono
0.580,-1.24600,0.00000,-1.25694,5.83642,pychrono
0.600,-1.22000,0.00000,-1.37466,6.02785,pychrono
0.620,-1.19400,0.00000,-1.49630,6.21958,pychrono
0.640,-1.16800,0.00000,-1.62187,6.41158,pychrono
0.660,-1.14200,0.00000,-1.75136,6.60382,pychrono
0.680,-1.11600,0.00000,-1.88478,6.79629,pychrono
0.700,-1.09000,0.00000,-2.02212,6.98897,pychrono
0.720,-1.06400,0.00000,-2.16338,7.18184,pychrono
0.740,-1.03800,0.00000,-2.30857,7.37488,pychrono
0.760,-1.01200,0.00000,-2.45768,7.56809,pychrono
0.780,-0.98600,0.00000,-2.61072,7.76145,pychrono
0.800,-0.96000,0.00000,-2.76768,7.95494,pychrono
