#{"t_start": 1780075241.6058955, "env_id": "None"}
r,l,t
-50.610172,401,26.272481
-18.054651,401,81.79637
-28.242517,401,109.302062
-25.531589,401,167.129403
-13.866832,401,217.379737
-19.504724,401,268.147439
-24.746806,401,319.594388
-20.104936,401,370.205848
-26.188081,401,421.290601
-26.589274,401,472.933712
-21.868247,401,517.712155
-23.74922,401,568.407027
-31.875545,401,621.111745
-31.421049,401,673.814861
-31.763879,401,704.675288
-22.91871,401,735.734957
-24.868102,401,770.799811
-32.48108,401,804.346788
-29.214876,401,839.40617
-24.976204,401,870.955903
-22.146309,401,902.483438
-27.581975,401,949.543104
-31.576467,401,983.01965
-29.528898,401,1035.136344
